,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10,PC11,PC12,PC13,NA,NA,NA,NA
OD,0.924751229,-0.001622749,-0.00820383,0.224219475,-0.048977925,0.017983892,0.066698055,0.063572763,0.150215868,-0.073981913,0.072287665,-0.15561187,-0.118037422,0.10629905,0.017538954,0.016119659,-1.29E-05
pH,0.845127989,0.232994807,0.343055985,0.044969374,-0.023186355,-0.124630386,0.07083569,-0.125725476,0.154068209,0.098132893,0.100197847,-0.124798561,-0.02770608,-0.120498146,-0.020754798,-0.012959894,1.33E-05
Densidad,0.685752955,-0.458576364,-0.009380108,-0.422365578,0.090197079,-0.243171038,-0.245697641,0.083860647,-0.047821724,0.038139299,-0.033820901,-0.03658919,-0.003064226,0.006205229,-0.002282818,-0.003679682,-0.003396761
Salinidad,0.678982471,-0.466682301,-0.030522683,-0.430248847,0.074453522,-0.253848602,-0.230773504,0.076883787,-0.045029329,0.036807692,-0.034768967,-0.036620668,-0.002604281,0.00594108,-0.0024901,-0.001526066,0.003428249
Transparencia,0.667121035,0.079921731,-0.060664292,0.300157302,0.274280016,-0.400409835,0.250404286,0.311279982,-0.143930582,-0.170706491,-0.032810075,-0.015812491,0.085310328,-0.032922619,0.008152242,-0.004573679,-2.30E-06
PesoHum500,0.362665135,0.484490032,-0.303339258,-0.41945622,0.483604237,0.245064703,-0.027276551,-0.018799556,-0.054308035,-0.15769989,0.18878985,0.068959223,-0.042606836,-0.013894985,-0.021730306,0.007859002,6.67E-06
Temperatura,0.108223282,-0.246866978,-0.533838337,-0.361682447,-0.46288273,-0.354839749,0.342716595,-0.218243097,0.055046818,-0.046929675,0.010446189,0.016785929,0.015503274,0.003851287,-0.01702296,0.011047731,-0.000127584
q1,0.081920017,0.473376624,0.21273821,-0.355300473,-0.700481938,0.09826527,-0.001842851,0.282809937,-0.06726767,-0.037619136,0.0928633,0.032404961,-0.011057802,-0.00864391,0.035175597,-0.018539583,2.05E-05
PesoHum300,0.074934077,0.747209831,-0.303219776,-0.334294893,0.348493688,0.016505832,0.15777868,0.049686219,0.179010747,0.18820351,-0.105810388,-0.031775702,0.035384777,0.024623649,0.037619764,-0.018420729,5.06E-06
q0,-0.573194003,0.70513885,-0.018581786,-0.151037894,-0.166735313,-0.000692693,-0.203841403,0.011634363,0.069305866,-0.169712454,-0.111974692,-0.164936897,0.081767534,-0.008274491,-0.031231826,0.022457347,-1.92E-05
DensidadFito,-0.612429005,0.376418368,-0.310485016,0.205028576,0.023580388,-0.464625511,-0.22048366,-0.214604799,-0.12240181,-0.067423467,0.036462037,-0.03440741,-0.093162488,-0.019549949,0.047029054,-0.019658108,1.31E-05
NO3,-0.651323996,-0.575480537,-0.373713417,-0.008899625,0.041792369,0.148091079,-0.034086993,0.194706014,0.162579278,0.008182235,0.052299566,-0.046419748,-0.004948109,-0.085445605,0.04680989,0.034680633,-4.34E-05
NO2,-0.651480503,-0.251955315,0.534387749,-0.228986402,0.213028752,-0.207771529,0.048214753,-0.146109393,0.101420263,-0.069197266,0.151460073,-0.028593043,0.141329741,0.044613802,0.032656162,-0.000894918,6.36E-06
Clorofila,-0.709816088,0.105310584,0.412661914,-0.180985879,0.140513801,-0.374136293,0.068182095,0.142287252,0.224961658,-0.07432223,-0.078152295,0.113094957,-0.148272163,-0.00823073,-0.015825703,0.008710837,-7.86E-06
PO4,-0.735325524,-0.166530479,0.246456225,-0.331269905,0.156966394,0.150402,0.273814988,-0.020787978,-0.322649609,0.030591777,-0.046688362,-0.150687997,-0.091328224,-0.010066733,0.004215589,0.005683049,-1.18E-05
SiO2,-0.763918083,-0.514731774,-0.267318519,0.00121198,0.036776396,0.14469143,0.021922028,0.126658383,0.137239019,-0.100900508,0.027982308,-0.081563177,-0.013040835,0.009626717,-0.031709509,-0.059071272,4.46E-05
SST,-0.795975219,0.259207438,-0.166122829,0.132566842,-0.004536118,-0.33528738,-0.027060669,0.22239949,-0.075503597,0.233921262,0.162894985,-0.031995723,0.015256581,0.035803138,-0.042046287,0.013084567,-7.34E-06
