Estacion,MareaFactor,Vibrio,NO2,NO3,PO4,SiO2,Clorofila,pH,OD,Transparencia,SST,Temperatura,Salinidad,Densidad,DensidadFito,PesoHum500,PesoHum300,q0,q1,PC01,PC02,PC03
A03,1,1,0.49,1.51,0.24,25.38,0.5,8.28,7.81,2.5,17.3,26.7658,26.6651,1016.5468,1128,204.4793,77.4105,12,4.685810657,2.326174621,-1.837716252,0.850932347
A04,1,1,0.15,0.47,0.19,8.32,0.5,8.23,7.58,6,23.05,27.0485,29.0194,1018.3309,530,201.1656,563.6953,8,5.992932687,3.642787042,-1.003956763,0.138933824
A05,1,1,0.54,1.13,0.26,19.21,0.57,8.16,6.84,1.6,25.85,26.7885,28.3586,1017.9209,1208,222.6885,230.3124,16,6.957818275,1.402207063,-1.543202159,0.811019476
A06,1,1,0.77,1.17,0.38,25.2,4.6,8.14,6.33,1.8,37.75,26.8459,29.0221,1018.3412,12372,17.5631,100.2808,29,7.633673977,-1.016260503,-1.010032658,2.005829551
G01,1,1,0.05,0.27,0.06,5.41,0.79,8.21,8.06,7,20.6,27.5117,26.6972,1016.352,2507,291.4779,922.9847,23,11.41830035,3.896333061,0.514914577,-0.418109748
G01,0,1,0.11,1,0.13,24.02,1.57,8.24,7.6,2.5,27.85,27.2356,11.8956,1005.5034,1724,53.9266,929.8637,21,10.20351208,1.491186783,0.521901874,0.118063262
G02,1,1,0.09,1.03,0.13,14.58,0.74,8.22,7.63,3.5,21.85,24.667,26.2349,1016.8337,2238,274.5359,440.3509,26,8.853810513,2.568088334,0.152342696,1.14150951
G02,0,1,0.28,2,0.23,33.27,1.47,8.18,7.25,1.2,34.9,27.9732,16.3038,1008.5972,2788,7.1647,851.296,32,16.55649035,0.306568231,0.216783607,-0.167937539
G03,1,1,0.13,1.54,0.2,12.58,0.69,8.24,7.29,6,27.2,27.2636,29.4739,1018.4902,360,183.9555,611.7072,12,8.219476362,3.147826522,-1.093648554,-0.18022537
G03,0,1,0.23,2.15,0.34,32.55,0.94,8.16,6.84,1,37.1,27.9243,23.9402,1014.189,1657,12.5106,238.2985,21,12.99008228,0.596307895,-1.357868474,-0.215605409
G04,1,1,0.05,0.36,0.13,3.51,0.32,8.18,7.19,1.8,24.1,26.6895,18.8356,1010.8592,1422,490.1017,122.3394,29,21.41506287,2.179525933,1.272950863,0.614601249
G04,0,1,0.32,4.09,0.32,78.47,1.34,7.95,6.48,0.8,50.38,27.1688,17.7717,1009.7976,6384,5.5462,160.3466,35,6.006364084,-2.383002302,-2.111954677,-1.553360226
G05,1,1,0.1,0.7,0.23,11.58,0.73,8.16,6.78,0.8,34.95,26.9316,22.1402,1013.3003,3067,29.547,638.181,37,20.23730393,1.06026749,1.036973125,0.545242524
G05,0,0,0.33,3.98,0.35,71.3,1.57,7.96,6.06,0.8,72,27.4788,19.7624,1011.1397,5106,6.4947,85.4514,25,7.620119399,-2.329106975,-2.429407433,-1.397896265
G06,1,1,0.15,1.15,0.42,16.85,0.86,8.14,6.62,0.6,53.53,27.6636,27.8153,1017.1047,5686,47.5315,1191.8986,30,11.71989476,0.579073184,0.007624609,-0.421179582
G06,0,1,0.37,4.31,0.62,77.47,1.38,7.87,5.87,0.6,77,26.891,12.9757,1006.2509,7562,0.5078,30.1282,12,2.301449438,-3.60223361,-3.154000356,-1.397588093
S03,1,0,0.11,0.64,0.19,10.77,0.75,8.19,7.04,2.5,27.15,25.6499,7.195,1002.5278,5688,371.7627,1001.8804,27,4.364843064,0.903117348,1.47084242,0.306056062
S03,0,0,0.45,1.21,0.36,27.28,1.23,8.12,6.29,0.9,35.8,25.7451,1.6371,998.3004,9568,10.3572,497.5823,39,7.881399587,-1.812710512,1.212724486,1.089466959
S04,1,1,0.09,0.87,0.33,12.67,0.73,8.16,6.85,2.5,22.6,26.9841,24.4799,1014.9614,5650,1913.1839,3070.9694,39,10.41433512,1.926358153,3.27593066,-2.011783113
S04,0,1,0.69,2.17,0.35,42.35,2.39,8.1,5.91,0.75,42.1,27.6442,26.1703,1015.8712,5408,59.7648,612.517,27,8.076789408,-1.172765436,-1.517411614,0.368502139
S05,1,1,0.06,0.53,0.14,9.41,1.14,8.12,6.7,2.5,77.75,27.7903,8.4429,1002.6861,18353,332.105,1386.7114,41,11.0253643,-0.275645238,2.803740228,-1.533515324
S05,0,1,0.84,1.49,0.91,45.98,3.64,8.04,5.6,1,87.55,26.4223,4.3041,1000.0697,6766,4.5348,347.8497,42,14.64139835,-4.562813666,0.607800947,2.447095035
S06,1,1,0.25,2.28,0.25,44.44,1.57,8.03,6.12,2.5,160.97,27.64,10.6847,1004.4749,29298,19.6088,588.4849,42,8.019566781,-3.153026192,1.226240884,-2.241977261
S06,0,0,0.73,2.46,0.47,44.98,4.99,8.02,5.41,1,188.05,25.4704,0.4015,997.4123,14414,49.2409,1772.8036,49,12.62862395,-5.718257226,2.738427963,1.10192599
