,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10,PC11,PC12,PC13
NO2,0.385084451,0.374742872,8.60E+09,0.138745638,0.024595043,0.040394202,0.003079221,0.007345756,0.025685913,2.70E+08,0.000153121,8.51E+08,1.48E+03
NO3,0.68631795,0.154243125,0.072749874,0.006408572,0.003834852,0.018969744,0.022373764,0.007893688,0.012956092,0.012618844,0.000680011,0.000953485,7.26E+02
PO4,0.56075177,0.137979767,3.14E+09,0.09049688,0.042494877,0.143163993,0.000435127,0.017500928,0.005802387,0.001257186,1.73E+09,6.84E+09,3.13E+01
SiO2,0.80842757,0.070067624,0.075588163,0.011971105,0.004046013,0.007505345,0.010873934,0.002230731,0.001417161,0.003370742,2.10E+09,0.00448059,5.64E+03
Clorofila,0.369013431,0.419783773,3.39E+07,0.002853761,0.132534002,0.003568979,0.036894153,0.014356275,0.02058587,9.49E+07,0.000391107,1.74E+09,1.36E+03
Salinidad,0.879479002,0.032153683,0.041105834,0.002843907,0.000834931,0.004679491,0.003753884,0.010583468,3.63E+09,0.019959696,0.002984528,0.00158523,2.56E+04
OD,0.772469108,0.078537968,0.034234471,0.005834598,0.004473222,0.011567659,0.040251421,0.037586575,0.001014366,0.010545514,0.003328035,0.000157062,9.56E+03
SST,0.472710651,0.045446091,0.029015579,0.370832454,0.027895629,0.002262893,0.00549782,0.044987301,0.001157023,0.000190237,3.80E+08,5.23E+07,1.54E+01
Temperatura_mean,0.237002174,0.001900159,0.550857614,0.00085447,0.142760819,0.0597643,9.36E+08,0.000451019,0.005416926,0.000886465,9.32E+09,3.45E+08,6.41E+06
Salinidad_mean,0.736707715,0.1709998,0.014474128,0.005309786,0.012088093,0.004357631,0.050260414,0.001068015,0.002756363,0.001325524,0.000649046,7.20E+07,2.77E+08
Oxigeno_mean,0.227237693,0.112205055,0.333635858,0.042804588,0.239175953,0.012150167,0.030868152,0.000139806,0.000575514,0.00113359,6.31E+09,1.06E+09,2.42E+03
Densidad_mean,0.755119845,0.143531378,0.046319073,0.005157337,0.002149768,0.000694168,0.043077289,0.001050104,0.001432011,0.00088343,0.000582186,2.25E+07,3.19E+08
pH,0.879093967,0.050033683,0.000235307,0.009920244,0.006117,0.011057429,0.000420346,0.024472818,0.006164084,0.000593081,0.011887534,4.51E+07,2.27E+04
