vibrio,temperatura,salinidad,oxigeno,densidad,amonio,nitritos,nitratos,fosfatos,silicatos,clorofila,ph
0,24,35.5,8.4,1023,0.5,0.1,1.2,0.1,2.2,0.03,8
1,25,36,8.6,1025,0.2,0.5,2,0.2,3.1,0.04,7
0,23,35.2,8.1,1021,0.7,0.2,0.8,0.1,1.8,0.02,7.5
1,26,36.5,8.8,1026,0.3,0.3,1.5,0.3,2.8,0.05,8.2
1,24,35.8,8.5,1024,0.4,0.2,1,0.1,2,0.03,7.8
0,23,35.3,8.2,1022,0.6,0.3,1.2,0.2,2.1,0.02,7.2
0,24,35.5,8.4,1023,0.5,0.1,1.2,0.1,2.2,0.03,8
1,25,36,8.6,1025,0.2,0.5,2,0.2,3.1,0.04,7
0,23,35.2,8.1,1021,0.7,0.2,0.8,0.1,1.8,0.02,7.5
1,26,36.5,8.8,1026,0.3,0.3,1.5,0.3,2.8,0.05,8.2
1,24,35.8,8.5,1024,0.4,0.2,1,0.1,2,0.03,7.8
0,23,35.3,8.2,1022,0.6,0.3,1.2,0.2,2.1,0.02,7.2
0,24,35.5,8.4,1023,0.5,0.1,1.2,0.1,2.2,0.03,8
1,25,36,8.6,1025,0.2,0.5,2,0.2,3.1,0.04,7
0,23,35.2,8.1,1021,0.7,0.2,0.8,0.1,1.8,0.02,7.5
1,26,36.5,8.8,1026,0.3,0.3,1.5,0.3,2.8,0.05,8.2
1,24,35.8,8.5,1024,0.4,0.2,1,0.1,2,0.03,7.8
0,23,35.3,8.2,1022,0.6,0.3,1.2,0.2,2.1,0.02,7.2
0,24,35.5,8.4,1023,0.5,0.1,1.2,0.1,2.2,0.03,8
1,25,36,8.6,1025,0.2,0.5,2,0.2,3.1,0.04,7
0,23,35.2,8.1,1021,0.7,0.2,0.8,0.1,1.8,0.02,7.5
1,26,36.5,8.8,1026,0.3,0.3,1.5,0.3,2.8,0.05,8.2
