"NO2","NO3","PO4","SiO2","Clorofila","pH","OD","Transparencia","SST","Temperatura","Salinidad","Densidad","DensidadFito","PesoHum500","PesoHum300","q0","q1"
1,0.673629497943732,0.785792279484103,0.751088186983773,0.559477177294317,-0.480140820478022,-0.630685662164641,-0.496724459379597,0.466492778937778,-0.191906077902575,-0.105744165374888,-0.100522231282301,0.28546573039476,-0.617928867622803,-0.411227309791232,0.0771746697859577,-0.312880884380842
0.673629497943732,1,0.663619320679956,0.927826086956522,0.569874234404882,-0.61753449550004,-0.609697774795805,-0.569638195775747,0.6,0.141739130434783,-0.214782608695652,-0.200869565217391,0.301739130434783,-0.74,-0.374782608695652,0.0670879093495475,-0.252173913043478
0.785792279484103,0.663619320679956,1,0.722404496724441,0.553738840278959,-0.720682213588547,-0.830140081453573,-0.732377940347188,0.646636936489327,-0.0870891496955323,-0.185499888851484,-0.182016322863663,0.505987959731043,-0.655345851458881,-0.222512777472085,0.292321144751259,-0.106684208377027
0.751088186983773,0.927826086956522,0.722404496724441,1,0.703091587902127,-0.696034643233096,-0.679712997151101,-0.626733774380872,0.641739130434783,0.0452173913043478,-0.373913043478261,-0.361739130434783,0.420869565217391,-0.813913043478261,-0.376521739130435,0.200392456498648,-0.219130434782609
0.559477177294317,0.569874234404882,0.553738840278959,0.703091587902127,1,-0.644105786092984,-0.692358346239165,-0.422839573340275,0.762734651395992,0.142359720894115,-0.478015209607762,-0.481498016235141,0.688725010564189,-0.622116333815566,0.0626905192928213,0.457797262663105,0.0639965717780884
-0.480140820478022,-0.61753449550004,-0.720682213588547,-0.696034643233096,-0.644105786092984,1,0.92868421273075,0.718740320965622,-0.846057147789603,-0.0641084539819957,0.465767543216132,0.467511990943533,-0.765376440397295,0.601398354021578,0.157872519329812,-0.528293957351063,0.0693417971641994
-0.630685662164641,-0.609697774795805,-0.830140081453573,-0.679712997151101,-0.692358346239165,0.92868421273075,1,0.730982332624839,-0.884105261169666,0.0482713644809803,0.467492944297782,0.464013927037892,-0.739291167726725,0.600565354488593,0.113502938103927,-0.529630434077433,0.029571646709069
-0.496724459379597,-0.569638195775747,-0.732377940347188,-0.626733774380872,-0.422839573340275,0.718740320965622,0.730982332624839,1,-0.603456346180321,-0.090035335492697,0.273619580546099,0.268349219444087,-0.371560457691813,0.656159957200436,0.227943117661999,-0.257434273167585,-0.0645619234996413
0.466492778937778,0.6,0.646636936489327,0.641739130434783,0.762734651395992,-0.846057147789603,-0.884105261169666,-0.603456346180321,1,0.208695652173913,-0.53304347826087,-0.531304347826087,0.748695652173913,-0.639130434782609,0.0269565217391304,0.54410908297133,0.0982608695652174
-0.191906077902575,0.141739130434783,-0.0870891496955323,0.0452173913043478,0.142359720894115,-0.0641084539819957,0.0482713644809803,-0.090035335492697,0.208695652173913,1,0.206086956521739,0.176521739130435,-0.0547826086956522,-0.163478260869565,0.22,-0.0697017239995298,0.22
-0.105744165374888,-0.214782608695652,-0.185499888851484,-0.373913043478261,-0.478015209607762,0.465767543216132,0.467492944297782,0.273619580546099,-0.53304347826087,0.206086956521739,1,0.996521739130435,-0.617391304347826,0.275652173913043,-0.20695652173913,-0.615553350070848,-0.15304347826087
-0.100522231282301,-0.200869565217391,-0.182016322863663,-0.361739130434783,-0.481498016235141,0.467511990943533,0.464013927037892,0.268349219444087,-0.531304347826087,0.176521739130435,0.996521739130435,1,-0.619130434782609,0.273913043478261,-0.220869565217391,-0.612068263870871,-0.16
0.28546573039476,0.301739130434783,0.505987959731043,0.420869565217391,0.688725010564189,-0.765376440397295,-0.739291167726725,-0.371560457691813,0.748695652173913,-0.0547826086956522,-0.617391304347826,-0.619130434782609,1,-0.347826086956522,0.199130434782609,0.75016480454494,-0.0295652173913043
-0.617928867622803,-0.74,-0.655345851458881,-0.813913043478261,-0.622116333815566,0.601398354021578,0.600565354488593,0.656159957200436,-0.639130434782609,-0.163478260869565,0.275652173913043,0.273913043478261,-0.347826086956522,1,0.420869565217391,-0.138532176449066,0.0591304347826087
-0.411227309791232,-0.374782608695652,-0.222512777472085,-0.376521739130435,0.0626905192928213,0.157872519329812,0.113502938103927,0.227943117661999,0.0269565217391304,0.22,-0.20695652173913,-0.220869565217391,0.199130434782609,0.420869565217391,1,0.424309244847138,0.410434782608696
0.0771746697859577,0.0670879093495475,0.292321144751259,0.200392456498648,0.457797262663105,-0.528293957351063,-0.529630434077433,-0.257434273167585,0.54410908297133,-0.0697017239995298,-0.615553350070848,-0.612068263870871,0.75016480454494,-0.138532176449066,0.424309244847138,1,0.472229180096815
-0.312880884380842,-0.252173913043478,-0.106684208377027,-0.219130434782609,0.0639965717780884,0.0693417971641994,0.029571646709069,-0.0645619234996413,0.0982608695652174,0.22,-0.15304347826087,-0.16,-0.0295652173913043,0.0591304347826087,0.410434782608696,0.472229180096815,1
